"evento_id","mac_address","timestamp","rssi"
"1","AA:BB:CC:DD:EE:01","2024-03-18 08:15:00","-45"
"2","AA:BB:CC:DD:EE:01","2024-03-19 08:45:00","-50"
"3","AA:BB:CC:DD:EE:02","2024-03-18 09:45:00","-60"
"4","AA:BB:CC:DD:EE:03","2024-03-18 07:50:00","-50"
"5","AA:BB:CC:DD:EE:04","2024-03-18 11:30:00","-70"
"6","AA:BB:CC:DD:EE:05","2024-03-18 12:15:00","-55"
"7","AA:BB:CC:DD:EE:06","2024-03-19 10:15:00","-65"
"8","AA:BB:CC:DD:EE:07","2024-03-20 07:15:00","-50"
"9","AA:BB:CC:DD:EE:08","2024-03-20 09:15:00","-55"
"10","AA:BB:CC:DD:EE:09","2024-03-20 10:45:00","-60"
"11","AA:BB:CC:DD:EE:0A","2024-03-21 11:15:00","-58"
